,Song,Core catalogue release(s),Songwriter(s),Lead vocal(s)[d],Year,Ref(s)
65,"""A Hard Day's Night""",A Hard Day's Night,Lennon McCartney,Lennon (with McCartney),1964,[58]
66,"""Hello, Goodbye"" #",Magical Mystery Tour,Lennon McCartney,McCartney,1967,[57] [72]
67,"""Help!""",Help!,Lennon McCartney,Lennon,1965,[53]
68,"""Helter Skelter""","The Beatles (""White Album"")",Lennon McCartney,McCartney,1968,[62]
69,"""Her Majesty""",Abbey Road,Lennon McCartney,McCartney,1969,[64]
70,"""Here Comes the Sun""",Abbey Road,Harrison,Harrison,1969,[64]
71,"""Here, There and Everywhere""",Revolver,Lennon McCartney,McCartney,1966,[59]
72,"""Hey Bulldog""",Yellow Submarine,Lennon McCartney,Lennon,1969,[55]
73,"""Hey Jude"" #",Past Masters,Lennon McCartney,McCartney,1968,[52] [73]
74,"""Hold Me Tight""",With the Beatles,Lennon McCartney,McCartney,1963,[54]
75,"""Honey Don't""",Beatles for Sale,Carl Perkins †,Starr,1964,[61]
76,"""Honey Pie""","The Beatles (""White Album"")",Lennon McCartney,McCartney,1968,[62]
77,"""I Am the Walrus""",Magical Mystery Tour,Lennon McCartney,Lennon,1967,[57]
78,"""I Call Your Name""[i]",Past Masters,Lennon McCartney,Lennon,1964,[52]
79,"""I Don't Want to Spoil the Party""",Beatles for Sale,Lennon McCartney,Lennon (with McCartney),1964,[61]
80,"""I Feel Fine"" #",Past Masters,Lennon McCartney,Lennon,1964,[52] [75]
81,"""I Me Mine""",Let It Be,Harrison,Harrison,1970,[51]
82,"""I Need You""",Help!,Harrison,Harrison,1965,[53]
83,"""I Saw Her Standing There""",Please Please Me,Lennon McCartney,McCartney,1963,[60]
84,"""I Should Have Known Better""",A Hard Day's Night,Lennon McCartney,Lennon,1964,[58]
85,"""I Wanna Be Your Man""[j]",With the Beatles,Lennon McCartney,Starr,1963,[54]
86,"""I Want to Hold Your Hand"" #",Past Masters,Lennon McCartney,Lennon (with McCartney),1963,[52] [77]
87,"""I Want to Tell You""",Revolver,Harrison,Harrison,1966,[59]
88,"""I Want You (She's So Heavy)""",Abbey Road,Lennon McCartney,Lennon,1969,[64]
89,"""I Will""","The Beatles (""White Album"")",Lennon McCartney,McCartney,1968,[62]
90,"""If I Fell""",A Hard Day's Night,Lennon McCartney,Lennon (with McCartney),1964,[58]
91,"""If I Needed Someone""",Rubber Soul,Harrison,Harrison,1965,[69]
92,"""I'll Be Back""",A Hard Day's Night,Lennon McCartney,Lennon (with McCartney),1964,[58]
93,"""I'll Cry Instead""",A Hard Day's Night,Lennon McCartney,Lennon,1964,[58]
94,"""I'll Follow the Sun""",Beatles for Sale,Lennon McCartney,McCartney,1964,[61]
95,"""I'll Get You"" #","Past Masters (B-side of ""She Loves You"")",Lennon McCartney,Lennon (with McCartney),1963,[52] [78]
96,"""I'm a Loser""",Beatles for Sale,Lennon McCartney,Lennon,1964,[61]
97,"""I'm Down"" #","Past Masters (B-side of ""Help!"")",Lennon McCartney,McCartney,1965,[52] [79]
98,"""I'm Happy Just to Dance with You""",A Hard Day's Night,Lennon McCartney,Harrison,1964,[58]
99,"""I'm Looking Through You""",Rubber Soul,Lennon McCartney,McCartney,1965,[69]
100,"""I'm Only Sleeping""",Revolver,Lennon McCartney,Lennon,1966,[59]
101,"""I'm So Tired""","The Beatles (""White Album"")",Lennon McCartney,Lennon,1968,[62]
102,"""I've Got a Feeling""",Let It Be,Lennon McCartney,McCartney (with Lennon),1970,[51]
103,"""I've Just Seen a Face""",Help!,Lennon McCartney,McCartney,1965,[53]
104,"""In My Life""",Rubber Soul,Lennon McCartney,Lennon,1965,[69]
105,"""The Inner Light"" #","Past Masters (B-side of ""Lady Madonna"")",Harrison,Harrison,1968,[52] [80]
106,"""It Won't Be Long""",With the Beatles,Lennon McCartney,Lennon,1963,[54]
107,"""It's All Too Much""",Yellow Submarine,Harrison,Harrison,1969,[55]
108,"""It's Only Love""",Help!,Lennon McCartney,Lennon,1965,[69]
109,"""Julia""","The Beatles (""White Album"")",Lennon McCartney,Lennon,1968,[62]
110,"""Kansas City/Hey-Hey-Hey-Hey!""",Beatles for Sale,Jerry Leiber Mike Stoller / Richard Penniman †,McCartney,1964,[61]
111,"""Komm, gib mir deine Hand"" # (German version of ""I Want to Hold Your Hand"")",Past Masters,Lennon McCartney Jean Nicolas Heinz Hellmer,Lennon McCartney,1964,[52] [81]
112,"""Lady Madonna"" #",Past Masters,Lennon McCartney,McCartney,1968,[52] [80]
113,"""Let It Be""[k]",Let It Be Past Masters,Lennon McCartney,McCartney,1970,[51] [52]
114,"""Little Child""",With the Beatles,Lennon McCartney,Lennon (with McCartney),1963,[54]
115,"""The Long and Winding Road""",Let It Be,Lennon McCartney,McCartney,1970,[51]
116,"""Long Tall Sally""",Past Masters,Robert Blackwell Enotris Johnson Richard Penniman †,McCartney,1964,[52]
117,"""Long, Long, Long""","The Beatles (""White Album"")",Harrison,Harrison,1968,[62]
118,"""Love Me Do""[l]",Please Please Me Past Masters,Lennon McCartney,McCartney (with Lennon),1962,[60] [52]
119,"""Love You To""",Revolver,Harrison,Harrison,1966,[59]
120,"""Lovely Rita""",Sgt. Pepper's Lonely Hearts Club Band,Lennon McCartney,McCartney,1967,[65]
121,"""Lucy in the Sky with Diamonds""",Sgt. Pepper's Lonely Hearts Club Band,Lennon McCartney,Lennon,1967,[65]
122,"""Maggie Mae""",Let It Be,"Traditional, arr. Lennon McCartney Harrison Starkey †",Lennon (with McCartney),1970,[51]
123,"""Magical Mystery Tour""",Magical Mystery Tour,Lennon McCartney,McCartney (with Lennon),1967,[57]
